City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Russellville,US,2022-05-03 03:03:46,35.2784,-93.1338,69.94,90,40,0.0
267,Bozeman,US,2022-05-03 03:03:47,45.6796,-111.0386,53.01,62,100,6.91
268,Murgab,TM,2022-05-03 03:03:47,37.4966,61.9714,66.67,74,99,9.98
269,Zhirnovsk,RU,2022-05-03 03:03:48,50.9845,44.7735,42.33,56,8,2.89
270,Tapah,MY,2022-05-03 03:04:48,4.2004,101.2598,84.63,72,100,4.32
271,Airai,TL,2022-05-03 03:04:49,-8.9266,125.4092,74.62,55,53,3.8
272,Hohoe,GH,2022-05-03 03:04:49,7.1518,0.4736,73.99,96,78,2.91
273,Mayumba,GA,2022-05-03 03:04:50,-3.432,10.6554,77.59,89,100,3.24
274,Nhulunbuy,AU,2022-05-03 03:04:50,-12.2333,136.7667,88.41,62,75,17.27
275,Londiani,KE,2022-05-03 03:04:51,-0.165,35.5909,51.13,95,100,2.37
276,Mehran,IR,2022-05-03 03:04:52,33.1222,46.1646,74.7,39,93,4.12
277,Kunashak,RU,2022-05-03 03:04:52,55.7032,61.5498,46.92,68,40,8.61
278,Gallup,US,2022-05-03 03:00:53,35.5281,-108.7426,61.02,17,0,1.99
279,Broken Hill,AU,2022-05-03 03:04:53,-31.95,141.4333,68.22,32,0,6.08
280,Rawson,AR,2022-05-03 03:04:54,-43.3002,-65.1023,56.05,40,4,6.58
281,Mizan Teferi,ET,2022-05-03 03:04:54,6.9833,35.5833,62.04,99,100,1.01
282,Aswan,EG,2022-05-03 03:04:55,24.0934,32.907,86.18,12,0,7.4
283,Yellowknife,CA,2022-05-03 03:01:27,62.456,-114.3525,44.56,36,8,11.99
284,Kassala,SD,2022-05-03 03:04:56,15.451,36.4,85.48,45,31,3.71
285,Tanete,ID,2022-05-03 03:04:56,-3.9443,119.7848,89.1,60,59,7.38
286,Mangrol,IN,2022-05-03 03:04:57,21.1167,70.1167,83.98,78,1,10.87
287,Atambua,ID,2022-05-03 03:04:57,-9.1061,124.8925,84.51,59,22,2.35
288,Hervey Bay,AU,2022-05-03 03:04:58,-25.2986,152.8535,76.01,73,13,5.99
289,Gornopravdinsk,RU,2022-05-03 03:04:58,60.05,69.9,37.11,67,91,12.53
290,Haines Junction,CA,2022-05-03 03:04:59,60.7522,-137.5108,36.93,83,99,6.64
291,Mitu,CO,2022-05-03 03:05:00,1.1983,-70.1733,75.34,85,99,0.65
292,Ayan,RU,2022-05-03 03:05:00,56.45,138.1667,30.72,97,100,11.23
293,Kiruna,SE,2022-05-03 03:05:01,67.8557,20.2251,22.12,74,100,12.66
294,Hearst,CA,2022-05-03 03:05:01,49.6835,-83.6665,43.2,99,100,5.06
